1551453880 0.0
1551454181 0.0
1551454482 0.0
1551454783 0.0
1551455084 0.0
1551455385 0.0
1551455686 0.0
1551455987 0.0
1551456288 0.0
1551456589 0.0
1551456890 0.0
1551457191 0.0
1551457492 0.0
1551457793 0.0
1551458095 0.0
1551458396 0.0
1551458697 0.0
1551458998 0.0
1551459299 0.0
1551459600 0.0
1551459901 0.0
1551460202 0.0
1551460503 0.0
1551460804 0.0
1551461105 0.0
1551461406 0.0
1551461707 0.0
1551462009 0.0
1551462310 0.0
1551462611 0.0
1551463213 0.0
1551463514 0.0
1551463815 0.0
1551464116 0.0
1551464417 0.0
1551464718 0.0
1551465019 0.0
1551465320 0.0
1551465621 0.0
1551465922 0.0
1551465957 6.0
1551466258 0.0
1551466559 0.0
1551466827 4.0
1551467128 0.0
1551467429 0.0
1551468065 0.0
1551468234 4.0
1551468235 38.0
1551468236 49.0
1551468237 51.0
1551468238 51.0
1551468239 49.0
1551468240 51.0
1551468241 51.0
1551468242 51.0
1551468243 49.0
1551468244 51.0
1551468245 51.0
1551468246 51.0
1551468248 51.0
1551468249 45.0
1551468250 11.0
1551468262 4.0
1551468265 2.0
1551468281 2.0
1551468285 2.0
1551468286 4.0
1551468287 2.0
1551468588 0.0
1551468598 20.0
1551468599 29.0
1551468600 29.0
1551468601 29.0
1551468602 29.0
1551468603 29.0
1551468604 29.0
1551468606 29.0
1551468607 29.0
1551468608 31.0
1551468609 33.0
1551468610 33.0
1551468611 31.0
1551468612 33.0
1551468613 36.0
1551468614 33.0
1551468615 31.0
1551468616 31.0
1551468617 33.0
1551468618 29.0
1551468619 31.0
1551468620 33.0
1551468621 33.0
1551468622 33.0
1551468624 31.0
1551468625 33.0
1551468626 29.0
1551468627 31.0
1551468628 33.0
1551468629 36.0
1551468630 27.0
1551468631 2.0
1551468632 2.0
1551468633 2.0
1551468634 2.0
1551468635 2.0
1551468843 13.0
1551468844 40.0
1551468845 47.0
1551468846 49.0
1551468847 47.0
1551468849 49.0
1551468850 49.0
1551468851 49.0
1551468852 49.0
1551468853 42.0
1551468854 2.0
1551468855 2.0
1551468856 4.0
1551468857 6.0
1551469158 0.0
1551469168 42.0
1551469169 72.0
1551469170 74.0
1551469171 72.0
1551469172 13.0
1551469191 2.0
1551469192 2.0
1551469195 2.0
1551469196 4.0
1551469198 6.0
1551469199 2.0
1551469500 0.0
1551469801 0.0
1551470101 4.0
1551470102 67.0
1551470103 74.0
1551470104 76.0
1551470105 76.0
1551470106 74.0
1551470107 76.0
1551470108 24.0
1551470109 4.0
1551470123 20.0
1551470125 29.0
1551470126 29.0
1551470127 29.0
1551470128 29.0
1551470129 29.0
1551470130 31.0
1551470131 29.0
1551470132 29.0
1551470133 27.0
1551470134 27.0
1551470135 27.0
1551470136 27.0
1551470137 27.0
1551470138 27.0
1551470139 29.0
1551470140 29.0
1551470141 29.0
1551470143 29.0
1551470144 29.0
1551470145 29.0
1551470146 29.0
1551470147 27.0
1551470148 29.0
1551470149 29.0
1551470150 29.0
1551470151 29.0
1551470152 29.0
1551470153 29.0
1551470154 24.0
1551470155 9.0
1551470171 33.0
1551470172 38.0
1551470173 38.0
1551470174 38.0
1551470176 38.0
1551470177 38.0
1551470178 36.0
1551470179 27.0
1551470180 2.0
1551470314 2.0
1551470615 0.0
1551470916 0.0
1551471217 0.0
1551471518 0.0
1551471819 0.0
1551472120 0.0
1551472421 0.0
1551472722 0.0
1551473023 0.0
1551473323 0.0
1551473624 0.0
1551473925 0.0
1551474226 0.0
1551474528 0.0
1551474829 0.0
1551475130 0.0
1551475431 0.0
1551475732 0.0
1551475985 33.0
1551475986 54.0
1551476000 2.0
1551476070 15.0
1551476071 38.0
1551476072 2.0
1551476074 18.0
1551476075 27.0
1551476076 18.0
1551476087 9.0
1551476088 42.0
1551476089 42.0
1551476091 42.0
1551476092 11.0
1551476110 18.0
1551476111 29.0
1551476112 9.0
1551476113 20.0
1551476114 20.0
1551476115 20.0
1551476116 18.0
1551476117 4.0
1551476125 2.0
1551476126 22.0
1551476127 24.0
1551476128 24.0
1551476129 24.0
1551476130 15.0
1551476138 9.0
1551476140 22.0
1551476141 20.0
1551476142 2.0
1551476157 2.0
1551476161 2.0
1551476162 4.0
1551476463 0.0
1551476764 0.0
1551477065 0.0
1551477366 0.0
1551477667 0.0
1551477968 0.0
1551478269 0.0
1551478570 0.0
1551478871 0.0
1551479172 0.0
1551479473 0.0
1551479774 0.0
1551480076 0.0
1551480377 0.0
1551480678 0.0
1551480979 0.0
1551481280 0.0
1551481581 0.0
1551481882 0.0
1551482183 0.0
1551482484 0.0
1551482785 0.0
1551483086 0.0
1551483387 0.0
1551483688 0.0
1551483989 0.0
1551484290 0.0
1551484591 0.0
1551484892 0.0
1551485193 0.0
1551485494 0.0
1551485795 0.0
1551486096 0.0
1551486398 0.0
1551486699 0.0
1551487000 0.0
1551487301 0.0
1551487602 0.0
1551487903 0.0
1551488204 0.0
1551488505 0.0
1551488806 0.0
1551489107 0.0
1551489408 0.0
1551489709 0.0
1551490010 0.0
1551490311 0.0
1551490612 0.0
1551490913 0.0
1551491214 0.0
1551491515 0.0
1551491816 0.0
1551492117 0.0
1551492419 0.0
1551492720 0.0
1551493021 0.0
1551493322 0.0
1551493623 0.0
1551493924 0.0
1551494225 0.0
1551494526 0.0
1551494827 0.0
1551495128 0.0
1551495429 0.0
1551495730 0.0
1551496031 0.0
1551496332 0.0
1551496633 0.0
1551496934 0.0
1551497235 0.0
1551497537 0.0
1551497838 0.0
1551498139 0.0
1551498440 0.0
1551498741 0.0
1551499042 0.0
1551499343 0.0
1551499644 0.0
1551499945 0.0
1551500246 0.0
1551500547 0.0
1551500848 0.0
1551501149 0.0
1551501450 0.0
1551501751 0.0
1551502052 0.0
1551502353 0.0
1551502654 0.0
1551502955 0.0
1551503256 0.0
1551503558 0.0
1551503859 0.0
1551504160 0.0
1551504461 0.0
1551504762 0.0
1551505063 0.0
1551505364 0.0
1551505665 0.0
1551505966 0.0
1551506267 0.0
1551506568 0.0
1551506869 0.0
1551507170 0.0
1551507471 0.0
1551507772 0.0
1551508073 0.0
1551508374 0.0
1551508675 0.0
1551508976 0.0
1551509278 0.0
1551509579 0.0
1551509880 0.0
1551510181 0.0
1551510248 20.0
1551510249 31.0
1551510250 36.0
1551510251 38.0
1551510252 27.0
1551510253 4.0
1551510254 2.0
1551510286 2.0
1551510287 4.0
1551510289 4.0
1551510590 0.0
1551510803 11.0
1551510804 63.0
1551510805 67.0
1551510806 13.0
1551511020 9.0
1551511021 63.0
1551511023 69.0
1551511024 69.0
1551511025 45.0
1551511026 2.0
1551511046 33.0
1551511047 67.0
1551511048 69.0
1551511049 69.0
1551511050 69.0
1551511051 69.0
1551511052 69.0
1551511053 69.0
1551511054 67.0
1551511055 67.0
1551511056 24.0
1551511057 4.0
1551511058 2.0
1551511060 9.0
1551511063 2.0
1551511364 0.0
1551511529 38.0
1551511530 92.0
1551511531 92.0
1551511532 92.0
1551511533 92.0
1551511534 92.0
1551511535 94.0
1551511536 94.0
1551511537 92.0
1551511538 92.0
1551511539 85.0
1551511540 81.0
1551511541 81.0
1551511542 81.0
1551511544 81.0
1551511545 81.0
1551511546 81.0
1551511547 81.0
1551511548 81.0
1551511549 81.0
1551511550 81.0
1551511551 81.0
1551511552 83.0
1551511553 81.0
1551511554 81.0
1551511555 78.0
1551511556 83.0
1551511557 81.0
1551511558 81.0
1551511559 81.0
1551511560 81.0
1551511562 81.0
1551511563 83.0
1551511564 83.0
1551511565 81.0
1551511566 81.0
1551511567 83.0
1551511568 83.0
1551511569 83.0
1551511570 83.0
1551511571 83.0
1551511572 83.0
1551511573 83.0
1551511574 83.0
1551511575 83.0
1551511576 81.0
1551511577 81.0
1551511578 83.0
1551511580 83.0
1551511581 83.0
1551511582 81.0
1551511583 83.0
1551511584 81.0
1551511585 83.0
1551511586 83.0
1551511587 83.0
1551511588 81.0
1551511589 81.0
1551511590 81.0
1551511591 81.0
1551511592 83.0
1551511593 81.0
1551511594 81.0
1551511595 81.0
1551511596 83.0
1551511598 83.0
1551511599 85.0
1551511600 83.0
1551511601 83.0
1551511602 85.0
1551511603 87.0
1551511604 85.0
1551511605 85.0
1551511606 87.0
1551511607 87.0
1551511608 87.0
1551511609 85.0
1551511610 87.0
1551511611 85.0
1551511612 85.0
1551511613 87.0
1551511614 85.0
1551511616 85.0
1551511617 85.0
1551511618 87.0
1551511619 90.0
1551511620 90.0
1551511621 90.0
1551511622 90.0
1551511623 90.0
1551511624 90.0
1551511625 90.0
1551511626 90.0
1551511627 90.0
1551511628 90.0
1551511629 92.0
1551511630 90.0
1551511631 90.0
1551511632 90.0
1551511633 92.0
1551511635 90.0
1551511636 87.0
1551511637 90.0
1551511638 90.0
1551511639 90.0
1551511640 85.0
1551511641 33.0
1551511642 33.0
1551511643 31.0
1551511644 31.0
1551511645 31.0
1551511646 31.0
1551511647 31.0
1551511648 31.0
1551511649 31.0
1551511650 33.0
1551511651 33.0
1551511653 33.0
1551511654 31.0
1551511655 31.0
1551511656 31.0
1551511657 31.0
1551511658 31.0
1551511659 31.0
1551511660 31.0
1551511661 31.0
1551511662 31.0
1551511663 31.0
1551511664 31.0
1551511665 29.0
1551511666 31.0
1551511667 31.0
1551511668 31.0
1551511669 31.0
1551511670 33.0
1551511672 31.0
1551511673 31.0
1551511674 31.0
1551511675 31.0
1551511676 33.0
1551511677 31.0
1551511678 31.0
1551511679 31.0
1551511680 31.0
1551511681 31.0
1551511682 31.0
1551511683 18.0
1551511684 6.0
1551511685 6.0
1551511686 6.0
1551511687 6.0
1551511688 6.0
1551511690 6.0
1551511691 6.0
1551511692 6.0
1551511693 6.0
1551511694 6.0
1551511695 6.0
1551511696 6.0
1551511697 6.0
1551511698 4.0
1551511699 24.0
1551511700 40.0
1551511701 13.0
1551511715 2.0
1551511716 2.0
1551511717 2.0
1551512018 0.0
1551512319 0.0
1551512621 0.0
1551512922 0.0
1551513223 0.0
1551513524 0.0
1551513825 0.0
1551514126 0.0
1551514427 0.0
1551514728 0.0
1551515029 0.0
1551515329 0.0
1551515412 22.0
1551515413 49.0
1551515414 51.0
1551515415 49.0
1551515416 49.0
1551515417 49.0
1551515418 47.0
1551515419 47.0
1551515420 47.0
1551515422 49.0
1551515423 47.0
1551515424 36.0
1551515425 2.0
1551515426 2.0
1551515427 2.0
1551515428 2.0
1551515429 4.0
1551515430 2.0
1551515435 2.0
1551515436 114.0
1551515437 150.0
1551515438 153.0
1551515439 155.0
1551515440 126.0
1551515441 63.0
1551515442 58.0
1551515444 58.0
1551515445 58.0
1551515446 58.0
1551515447 58.0
1551515448 56.0
1551515449 58.0
1551515450 58.0
1551515451 58.0
1551515452 60.0
1551515453 58.0
1551515454 58.0
1551515455 58.0
1551515456 60.0
1551515457 58.0
1551515458 58.0
1551515459 58.0
1551515460 58.0
1551515462 58.0
1551515463 60.0
1551515464 60.0
1551515465 60.0
1551515466 60.0
1551515467 60.0
1551515468 60.0
1551515469 60.0
1551515470 60.0
1551515471 60.0
1551515472 60.0
1551515473 60.0
1551515506 2.0
1551515507 2.0
1551515516 2.0
1551515817 0.0
1551516119 0.0
1551516420 0.0
1551516721 0.0
1551516730 18.0
1551516731 58.0
1551516732 72.0
1551516733 72.0
1551516734 47.0
1551516735 36.0
1551516736 65.0
1551517037 0.0
1551517338 0.0
1551517639 0.0
1551517940 0.0
1551518241 0.0
1551518542 0.0
1551518843 0.0
1551519144 0.0
1551519446 0.0
1551519747 0.0
1551520048 0.0
1551520349 0.0
1551520650 0.0
1551520951 0.0
1551521252 0.0
1551521553 0.0
1551521854 0.0
1551522155 0.0
1551522456 0.0
1551522757 0.0
1551523058 0.0
1551523359 0.0
1551523660 0.0
1551523961 0.0
1551524262 0.0
1551524563 0.0
1551524865 0.0
1551525166 0.0
1551525467 0.0
1551525768 0.0
1551525990 9.0
1551525991 45.0
1551525992 47.0
1551525993 47.0
1551525994 47.0
1551525995 47.0
1551525996 47.0
1551525997 47.0
1551525998 47.0
1551525999 47.0
1551526000 47.0
1551526001 47.0
1551526002 47.0
1551526003 47.0
1551526005 47.0
1551526006 47.0
1551526007 47.0
1551526008 47.0
1551526009 45.0
1551526010 47.0
1551526011 24.0
1551526012 4.0
1551526313 0.0
1551526614 0.0
1551526700 15.0
1551526701 51.0
1551526702 69.0
1551526703 74.0
1551526704 74.0
1551526705 72.0
1551526706 65.0
1551526708 15.0
1551526709 2.0
1551526786 4.0
1551527087 0.0
1551527241 20.0
1551527242 49.0
1551527243 65.0
1551527244 67.0
1551527245 67.0
1551527246 67.0
1551527247 65.0
1551527248 67.0
1551527249 67.0
1551527250 67.0
1551527251 67.0
1551527252 65.0
1551527253 65.0
1551527254 63.0
1551527256 63.0
1551527257 63.0
1551527258 63.0
1551527259 63.0
1551527260 63.0
1551527261 63.0
1551527262 63.0
1551527263 63.0
1551527264 63.0
1551527265 63.0
1551527266 54.0
1551527267 2.0
1551527269 2.0
1551527570 0.0
1551527871 0.0
1551528000 47.0
1551528002 60.0
1551528003 40.0
1551528004 38.0
1551528005 38.0
1551528006 38.0
1551528007 36.0
1551528008 4.0
1551528011 6.0
1551528012 13.0
1551528013 13.0
1551528014 15.0
1551528015 18.0
1551528016 18.0
1551528017 18.0
1551528018 22.0
1551528019 24.0
1551528020 22.0
1551528022 24.0
1551528023 24.0
1551528024 24.0
1551528025 24.0
1551528026 22.0
1551528027 22.0
1551528028 22.0
1551528029 22.0
1551528030 22.0
1551528031 24.0
1551528032 24.0
1551528033 24.0
1551528034 22.0
1551528035 22.0
1551528036 22.0
1551528037 22.0
1551528038 22.0
1551528040 22.0
1551528041 20.0
1551528042 22.0
1551528043 22.0
1551528044 22.0
1551528045 22.0
1551528046 22.0
1551528047 22.0
1551528048 22.0
1551528049 22.0
1551528050 22.0
1551528051 22.0
1551528052 22.0
1551528053 22.0
1551528054 22.0
1551528055 22.0
1551528056 22.0
1551528057 24.0
1551528059 22.0
1551528060 22.0
1551528061 22.0
1551528062 22.0
1551528063 22.0
1551528064 22.0
1551528065 24.0
1551528066 24.0
1551528067 24.0
1551528068 22.0
1551528069 22.0
1551528070 22.0
1551528071 22.0
1551528072 24.0
1551528073 24.0
1551528074 24.0
1551528075 24.0
1551528077 24.0
1551528078 9.0
1551528079 4.0
1551528080 83.0
1551528081 81.0
1551528082 83.0
1551528083 83.0
1551528084 83.0
1551528085 83.0
1551528086 60.0
1551528087 13.0
1551528088 2.0
1551528145 2.0
1551528146 2.0
1551528147 2.0
1551528148 2.0
1551528149 4.0
1551528151 2.0
1551528301 33.0
1551528302 51.0
1551528303 54.0
1551528304 54.0
1551528305 56.0
1551528306 54.0
1551528307 54.0
1551528308 56.0
1551528309 56.0
1551528310 56.0
1551528311 54.0
1551528312 54.0
1551528313 54.0
1551528314 54.0
1551528315 54.0
1551528316 54.0
1551528317 54.0
1551528319 54.0
1551528320 54.0
1551528321 54.0
1551528322 54.0
1551528323 56.0
1551528324 56.0
1551528325 56.0
1551528326 56.0
1551528327 56.0
1551528328 56.0
1551528329 56.0
1551528330 56.0
1551528331 56.0
1551528332 56.0
1551528333 56.0
1551528334 56.0
1551528335 56.0
1551528337 56.0
1551528338 56.0
1551528339 51.0
1551528340 54.0
1551528341 54.0
1551528342 51.0
1551528343 51.0
1551528344 51.0
1551528345 51.0
1551528346 54.0
1551528347 51.0
1551528348 51.0
1551528349 54.0
1551528350 54.0
1551528351 54.0
1551528352 47.0
1551528354 4.0
1551528470 15.0
1551528471 29.0
1551528472 29.0
1551528473 29.0
1551528474 29.0
1551528475 29.0
1551528476 29.0
1551528477 27.0
1551528478 29.0
1551528479 27.0
1551528480 29.0
1551528481 29.0
1551528482 27.0
1551528483 27.0
1551528484 29.0
1551528486 29.0
1551528487 29.0
1551528488 29.0
1551528489 31.0
1551528490 29.0
1551528491 29.0
1551528492 29.0
1551528493 18.0
1551528494 2.0
1551528500 2.0
1551528511 4.0
1551528522 2.0
1551528523 4.0
1551528525 2.0
1551528526 2.0
1551528827 0.0
1551529128 0.0
1551529429 0.0
1551529731 0.0
1551530032 0.0
1551530333 0.0
1551530634 0.0
1551530935 0.0
1551531236 0.0
1551531537 0.0
1551531838 0.0
1551532139 0.0
1551532440 0.0
1551532741 0.0
1551533042 0.0
1551533343 0.0
1551533644 0.0
1551533945 0.0
1551534246 0.0
1551534547 0.0
1551534848 0.0
1551535150 0.0
1551535451 0.0
1551535752 0.0
1551536053 0.0
1551536354 0.0
1551536655 0.0
1551536956 0.0
1551537257 0.0
1551537558 0.0
1551537859 0.0
1551538160 0.0
1551538461 0.0
1551538762 0.0
1551539063 0.0
1551539364 0.0
1551539665 0.0
1551539966 0.0
1551540267 0.0
1551540568 0.0
1551540870 0.0
1551541171 0.0
1551541472 0.0
1551541773 0.0
1551542381 0.0
1551542682 0.0
1551542983 0.0
1551543284 0.0
1551543585 0.0
1551543886 0.0
1551544188 0.0
1551544489 0.0
1551544790 0.0
1551545091 0.0
1551545392 0.0
1551545693 0.0
1551545994 0.0
1551546295 0.0
1551546596 0.0
1551546897 0.0
1551547198 0.0
1551547499 0.0
1551547800 0.0
1551548101 0.0
1551548402 0.0
1551548703 0.0
1551549004 0.0
1551549305 0.0
1551549607 0.0
1551549908 0.0
1551550209 0.0
1551550510 0.0
1551550748 27.0
1551550749 2.0
1551550750 2.0
1551550751 2.0
1551550752 2.0
1551550753 6.0
1551550757 2.0
1551550758 6.0
1551551059 0.0
1551551360 0.0
1551551662 0.0
1551551963 0.0
1551552264 0.0
1551552565 0.0
1551553177 0.0
1551553478 0.0
1551553779 0.0
1551554080 0.0
1551554381 0.0
1551554683 0.0
1551554984 0.0
1551555284 0.0
1551555585 0.0
1551555886 0.0
1551556187 0.0
1551556488 0.0
1551556788 0.0
1551557089 0.0
1551557390 0.0
1551557690 0.0
1551557991 0.0
1551558291 0.0
1551558592 0.0
1551558892 0.0
1551559193 0.0
1551559493 0.0
1551559793 0.0
1551560094 0.0
1551560395 0.0
1551560696 0.0
1551560997 0.0
1551561298 0.0
1551561599 0.0
1551561900 0.0
1551562201 0.0
1551562502 0.0
1551562803 0.0
1551563104 0.0
1551563405 0.0
1551563706 0.0
1551564007 0.0
1551564308 0.0
1551564609 0.0
1551564910 0.0
1551565211 0.0
1551565512 0.0
1551565813 0.0
1551566114 0.0
1551566415 0.0
1551566717 0.0
1551567018 0.0
1551567319 0.0
1551567620 0.0
1551567921 0.0
1551568222 0.0
1551568523 0.0
1551568824 0.0
1551569125 0.0
1551569426 0.0
1551569727 0.0
1551570028 0.0
1551570329 0.0
1551570630 0.0
1551570931 0.0
1551571232 0.0
1551571533 0.0
1551571834 0.0
1551572135 0.0
1551572437 0.0
1551572738 0.0
1551573039 0.0
1551573340 0.0
1551573641 0.0
1551573942 0.0
1551574243 0.0
1551574544 0.0
1551574845 0.0
1551575146 0.0
1551575447 0.0
1551575748 0.0
1551576049 0.0
1551576350 0.0
1551576651 0.0
1551576952 0.0
1551577253 0.0
1551577554 0.0
1551577855 0.0
1551578156 0.0
1551578458 0.0
1551578759 0.0
1551579060 0.0
1551579361 0.0
1551579662 0.0
1551579963 0.0
1551580264 0.0
1551580565 0.0
1551580866 0.0
1551581167 0.0
1551581468 0.0
1551581769 0.0
1551582070 0.0
1551582371 0.0
1551582672 0.0
1551582973 0.0
1551583274 0.0
1551583575 0.0
1551583877 0.0
1551584178 0.0
1551584479 0.0
1551584780 0.0
1551585081 0.0
1551585382 0.0
1551585683 0.0
1551585984 0.0
1551586285 0.0
1551586586 0.0
1551586887 0.0
1551587188 0.0
1551587489 0.0
1551587790 0.0
1551588091 0.0
1551588392 0.0
1551588693 0.0
1551588994 0.0
1551589296 0.0
1551589597 0.0
1551589898 0.0
1551590199 0.0
1551590500 0.0
1551590801 0.0
1551591102 0.0
1551591403 0.0
1551591704 0.0
1551592005 0.0
1551592306 0.0
1551592607 0.0
1551592908 0.0
1551593209 0.0
1551593510 0.0
1551593812 0.0
1551594113 0.0
1551594414 0.0
1551594715 0.0
1551595016 0.0
1551595317 0.0
1551595618 0.0
1551595919 0.0
1551596220 0.0
1551596521 0.0
1551596822 0.0
1551597123 0.0
1551597424 0.0
1551597725 0.0
1551598025 0.0
1551598326 0.0
1551598627 0.0
1551598928 0.0
1551599229 0.0
1551599531 0.0
1551599832 0.0
1551600133 0.0
1551600434 0.0
1551600735 0.0
1551601036 0.0
1551601337 0.0
1551601638 0.0
1551601939 0.0
1551602074 2.0
1551602075 49.0
1551602076 58.0
1551602077 51.0
1551602078 6.0
1551602079 2.0
1551602380 0.0
1551602681 0.0
1551602982 0.0
1551603284 0.0
1551603585 0.0
1551603886 0.0
1551604187 0.0
1551604488 0.0
1551604789 0.0
1551605090 0.0
1551605391 0.0
1551605692 0.0
1551605993 0.0
1551606294 0.0
1551606539 6.0
1551606540 31.0
1551606541 36.0
1551606542 38.0
1551606543 38.0
1551606544 38.0
1551606545 38.0
1551606547 40.0
1551606548 40.0
1551606549 38.0
1551606550 40.0
1551606551 40.0
1551606552 38.0
1551606553 22.0
1551606571 2.0
1551606572 2.0
1551606575 2.0
1551606876 0.0
1551607177 0.0
1551607462 22.0
1551607463 24.0
1551607464 22.0
1551607465 9.0
1551607766 0.0
1551608068 0.0
1551608151 2.0
1551608452 0.0
1551608753 0.0
1551609054 0.0
1551609355 0.0
1551609656 0.0
1551609957 0.0
1551610258 0.0
1551610559 0.0
1551610860 0.0
1551611161 0.0
1551611462 0.0
1551611763 0.0
1551612064 0.0
1551612365 0.0
1551612666 0.0
1551612967 0.0
1551613269 0.0
1551613570 0.0
1551613871 0.0
1551614172 0.0
1551614473 0.0
1551614774 0.0
1551615075 0.0
1551615376 0.0
1551615677 0.0
1551615978 0.0
1551616279 0.0
1551616580 0.0
1551616881 0.0
1551617182 0.0
1551617483 0.0
1551617784 0.0
1551618085 0.0
1551618386 0.0
1551618687 0.0
1551618989 0.0
1551619290 0.0
1551619591 0.0
1551619892 0.0
1551620193 0.0
1551620494 0.0
1551620795 0.0
1551621096 0.0
1551621397 0.0
1551621698 0.0
1551621999 0.0
1551622300 0.0
1551622601 0.0
1551622902 0.0
1551623203 0.0
1551623504 0.0
1551623805 0.0
1551624106 0.0
1551624407 0.0
1551624709 0.0
1551625010 0.0
1551625311 0.0
1551625612 0.0
1551625913 0.0
1551626214 0.0
1551626515 0.0
1551626816 0.0
1551627117 0.0
1551627418 0.0
1551627719 0.0
1551628020 0.0
1551628321 0.0
1551628622 0.0
1551628923 0.0
1551629224 0.0
1551629525 0.0
1551629826 0.0
1551630127 0.0
1551630428 0.0
1551630730 0.0
1551631031 0.0
1551631332 0.0
1551631633 0.0
1551631934 0.0
1551632235 0.0
1551632536 0.0
1551632837 0.0
1551633138 0.0
1551633439 0.0
1551633740 0.0
1551634041 0.0
1551634342 0.0
1551634643 0.0
1551634944 0.0
1551635246 0.0
1551635547 0.0
1551635848 0.0
1551636149 0.0
1551636450 0.0
1551636751 0.0
1551637052 0.0
1551637353 0.0
1551637654 0.0
1551637955 0.0
1551638256 0.0
1551638557 0.0
1551638858 0.0
1551639159 0.0
1551639460 0.0
1551639761 0.0
1551640062 0.0
1551640364 0.0
1551640665 0.0
1551640966 0.0
1551641267 0.0
1551641568 0.0
1551641869 0.0
1551642170 0.0
1551642471 0.0
1551642772 0.0
1551643073 0.0
1551643374 0.0
1551643675 0.0
1551643854 4.0
1551643855 20.0
1551643856 29.0
1551643857 29.0
1551643858 27.0
1551643859 29.0
1551643860 31.0
1551643862 31.0
1551643863 33.0
1551643864 33.0
1551643865 31.0
1551643866 31.0
1551643867 33.0
1551643868 33.0
1551643869 33.0
1551643870 33.0
1551643871 31.0
1551643872 2.0
1551643874 2.0
1551643949 121.0
1551643950 159.0
1551643951 96.0
1551643952 90.0
1551643953 29.0
1551644255 0.0
1551644556 0.0
1551644603 4.0
1551644604 6.0
1551644605 2.0
1551644606 2.0
1551644607 2.0
1551644608 2.0
1551644609 6.0
1551644610 2.0
1551644911 0.0
1551644966 22.0
1551644967 31.0
1551644968 31.0
1551644969 31.0
1551644970 31.0
1551644971 31.0
1551644972 31.0
1551644974 31.0
1551644975 31.0
1551644976 33.0
1551644977 31.0
1551644978 31.0
1551644979 29.0
1551644980 31.0
1551644981 31.0
1551644982 29.0
1551644983 29.0
1551644984 27.0
1551644985 29.0
1551644986 31.0
1551644987 31.0
1551644988 31.0
1551644989 31.0
1551644990 11.0
1551644992 2.0
1551645293 0.0
1551645594 0.0
1551645894 0.0
1551646195 0.0
1551646496 0.0
1551646797 0.0
1551647098 0.0
1551647399 0.0
1551647700 0.0
1551648001 0.0
1551648302 0.0
1551648603 0.0
1551648904 0.0
1551649205 0.0
1551649506 0.0
1551649807 0.0
1551650108 0.0
1551650409 0.0
1551650711 0.0
1551651012 0.0
1551651313 0.0
1551651614 0.0
1551651915 0.0
1551652216 0.0
1551652517 0.0
1551652818 0.0
1551653119 0.0
1551653420 0.0
1551653721 0.0
1551654022 0.0
1551654323 0.0
1551654624 0.0
1551654925 0.0
1551655226 0.0
1551655527 0.0
1551655828 0.0
1551656129 0.0
1551656431 0.0
1551656732 0.0
1551657033 0.0
1551657334 0.0
1551657635 0.0
1551657936 0.0
1551658237 0.0
1551658538 0.0
1551658839 0.0
1551659140 0.0
